anon_ticket_number,issue_datetime,state,anon_plate_id,division,location,violation_desc,fine,issuing_agency,lat,lon,gps,zip_code
8980209,2017-11-22 17:54:00,PA,4729243,,7200 RISING SUN AVE,METER EXPIRED,26,PPA,40.060667,-75.084557,True,19111.0
8980210,2017-11-11 10:04:00,PA,981643,,3700 LUDLOW ST,METER EXPIRED CC,36,PPA,39.95599,-75.197847,True,19104.0
8980211,2017-11-22 21:14:00,MA,4729244,,807 SANSOM ST,METER EXPIRED CC,36,PPA,39.948435,-75.154313,True,19107.0
8980212,2017-11-22 21:24:00,NJ,4729245,,727 WALNUT ST,METER EXPIRED CC,36,PPA,39.948142,-75.153723,True,19106.0
8980213,2017-11-22 11:19:00,PA,4729246,,1800 FITZWATER ST,PARKING PROHBITED,41,PPA,39.942757,-75.173678,True,19146.0
8980214,2017-11-22 11:23:00,PA,4729247,,606 S 19TH ST,METER EXPIRED CC,36,PPA,39.944462,-75.173585,True,19146.0
8980215,2017-10-10 21:22:00,NJ,4729248,,1300 WALNUT ST,METER EXPIRED CC,36,PPA,39.949433,-75.162803,True,19107.0
8980216,2017-11-15 19:48:00,PA,2254709,,1100 ARCH ST,METER EXPIRED CC,36,PPA,39.953708,-75.158608,True,19107.0
8980258,2017-12-19 16:46:00,PA,649367,,1 N 3RD ST,STOP PROHIBITED CC,76,PPA,39.950413,-75.145583,True,19106.0
8980259,2017-11-08 21:47:00,PA,2252398,,2200 S 16TH ST,STOPPING PROHIBITED,51,PPA,39.922018,-75.171897,True,19145.0
8980302,2017-10-27 16:07:00,PA,4729272,,400 WALNUT ST,METER EXPIRED CC,36,PPA,39.947493,-75.14858,True,19106.0
8980303,2017-11-14 11:12:00,PA,4729272,,100 N CROSKEY ST,OVER TIME LIMIT CC,36,PPA,39.956677,-75.176777,True,
8980304,2017-11-27 15:32:00,PA,4729272,,1700 LOCUST ST,METER EXPIRED CC,36,PPA,39.948583,-75.170272,True,19103.0
8980346,2017-10-02 20:09:00,IL,4729281,,1100 RACE ST,METER EXPIRED CC,36,PPA,39.956735,-75.158597,True,19107.0
8980347,2017-11-11 14:03:00,SC,4729282,,5200 CHESTNUT ST,METER EXPIRED,26,PPA,39.958658,-75.226153,True,19139.0
8980348,2017-10-01 20:11:00,PA,4729283,,25TH & CUMBERLAND,FIRE HYDRANT,76,POLICE,,,,
8980349,2017-11-11 14:21:00,FL,4729284,,5100 WALNUT ST,METER EXPIRED,26,PPA,39.956958,-75.224825,True,19139.0
8980350,2017-11-11 14:27:00,PA,4729285,,5100 WALNUT ST,METER EXPIRED,26,PPA,39.956857,-75.224617,True,19139.0
8980393,2017-11-16 11:03:00,PA,4729310,,700 N UBER ST,OVER TIME LIMIT,26,PPA,39.968458,-75.169102,True,19130.0
8980394,2017-11-11 12:24:00,NJ,4729311,,6000 GERMANTOWN AVE,METER EXPIRED,26,PPA,40.039553,-75.177833,True,19144.0
8980395,2017-11-22 17:31:00,PA,4729312,,1700 SANSOM ST,EXPIRED INSPECTION,41,PPA,39.95051,-75.170235,True,19103.0
8980396,2017-11-22 17:19:00,NJ,4729313,,1899 S 13TH ST,PARKING PROHBITED,41,PPA,39.926728,-75.167103,True,19148.0
8980397,2017-11-11 12:49:00,PA,4729314,,1 E ARMAT ST,METER EXPIRED,26,PPA,40.035297,-75.173353,True,19144.0
8980398,2017-12-14 14:02:00,PA,4729314,,5700 N MARVINE ST,OVER TIME LIMIT,26,PPA,40.040105,-75.139868,True,
8980399,2017-11-22 17:30:00,NJ,4729315,,1719 E PASSYUNK AVE,METER EXPIRED,26,PPA,39.928178,-75.165518,True,19148.0
8980400,2017-11-28 15:02:00,PA,2374656,,4500 GRISCOM ST,OVER TIME LIMIT,26,PPA,40.014903,-75.08672,True,19124.0
8980401,2017-11-10 11:19:00,PA,2532574,,500 S 26TH ST,PARKING PROHBITED CC,51,PPA,39.946783,-75.182937,True,19146.0
8980402,2017-12-16 11:20:00,PA,2506343,,5700 N 21ST ST,OVER TIME LIMIT,26,PPA,40.042452,-75.155887,True,19138.0
8980403,2017-12-08 11:04:00,PA,2480195,,1 S 18TH ST,HP RESERVED SPACE,301,PPA,39.952333,-75.170858,True,19103.0
8980404,2017-11-15 10:02:00,NJ,4729316,,1501 N BROAD ST,LOADING ZONE,31,POLICE,39.97656636598747,-75.15837102707067,False,19122.0
8980405,2017-12-04 10:04:00,PA,1462111,,1200 TASKER ST,PASSENGR LOADNG ZONE,31,PPA,39.930172,-75.165973,True,19148.0
8980406,2017-11-13 10:23:00,PA,2284678,,1900 CHEW AVE,HP RAMP BLOCKED,76,PPA,40.040858,-75.154027,True,
8980407,2017-12-11 17:32:00,PA,2173951,,5718 N BROAD ST,METER EXPIRED,26,PPA,40.040445,-75.144553,True,19141.0
8980408,2017-11-27 17:34:00,PA,2174732,,4000 LANCASTER AVE,METER EXPIRED,26,PPA,39.96441,-75.20426,True,19104.0
8980409,2017-12-01 13:11:00,PA,2081157,,2000 SANSOM ST,EXPIRED INSPECTION,41,PPA,39.951368,-75.174382,True,19103.0
